Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
11/01/2021,"83 THE ACADEMY BUILDING, PARK WEST POINTE, YEATS WAY DUBLIN 12",Dublin 12,Dublin,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2016,"82 LOWER KILMACUD RD, STILLORGAN, DUBLIN",,Dublin,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2010,"22 Stanaway Road, Kimmage, Dublin 12",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2017,"108 CLOCHRAN, TUAM, CO GALWAY",,Galway,"€96,916.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/08/2012,"Dun an Octa 1, Haggard, Duncannon",,Wexford,"€218,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2019,"56 Oak Hill, Gorey",,Wexford,"€360,000.00",No,Yes,New Dwelling house /Apartment,
08/05/2015,"20 CASTLE MEADOWS, CORK, CORK",,Cork,"€217,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"3 IVY MEWS, CROMWELLSFORT GROVE, WEXFORD",,Wexford,"€87,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2016,"96 Carrigweir, Tuam",,Galway,"€114,537.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/09/2021,"13 HAYWORTH RISE, ONGAR VILLAGE, DUBLIN 15",Dublin 15,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2012,"187 Clonmacnoise Rd, Crumlin, Dublin 12",Dublin 12,Dublin,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"DRUMBRAIN, AGHABOG, MONAGHAN",,Monaghan,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2017,"29 Milltown Meadows, Ashbourne",,Meath,"€257,709.25",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/07/2019,"118 AN SEAN MHUILEANN, NORTH CIRCULAR RD, TRALEE",,Kerry,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2015,"9  The Avenue, Moyglare Hall, Moyglare Road  Maynooth",,Kildare,"€299,559.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/04/2016,"LATTERAGH, NENAGH, TIPPERARY",,Tipperary,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2019,"CLONAVILLA, CLONES, MONAGHAN",,Monaghan,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/08/2016,"2 BEECH HOUSE APT, CARRICKMINES GREEN, GLENAUMUCK RD DUBLIN 18",Dublin 18,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2014,"102 BALLINTEER PARK, DUNDRUM, DUBLIN 16",,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2017,"3 VICTORIA TERRACE, VICTORIA CROSS, CORK",,Cork,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2019,"99 LISSADYRA, BALLYGADDY RD, TUAM",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2018,"12 Somerton Copse, Newcastle Road, Lucan",,Dublin,"€308,370.00",No,Yes,New Dwelling house /Apartment,
29/06/2020,"1 DE VALARA STREET, YOUGHAL, CO CORK",,Cork,"€21,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2016,"2 DRUMARD, DRUMCARBIT, MALIN",,Donegal,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2010,"48 Radharc an Mhuilinn, Rathwire, Killucan",,Westmeath,"€156,172.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
