Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2015-09-10,dublin 6,Dublin,810000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2013-09-10,unknown,Kerry,75000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-08-12,unknown,Meath,82500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2015-01-08,unknown,Cork,145000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-06-24,unknown,Tipperary,40750.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2014-10-23,unknown,Wexford,137000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-02-06,dublin 15,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-05-08,dublin 3,Dublin,810100.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-11-15,dublin 18,Dublin,1250000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-08-20,unknown,Dublin,285000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2011-07-13,dublin 15,Dublin,140000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-07-17,unknown,Meath,196000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-09-08,dublin 11,Dublin,123000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-10-07,unknown,Carlow,126000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-12-06,unknown,Meath,290000.0,New Dwelling house /Apartment,unknown,December,4
2021-07-23,unknown,Wexford,295100.0,New Dwelling house /Apartment,unknown,July,3
2014-02-25,unknown,Cork,220000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-09-29,unknown,Longford,24000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-05-23,dublin 13,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2017-01-09,unknown,Carlow,60000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-07-22,dublin 16,Dublin,562000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-01-13,unknown,Cork,170000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2021-03-09,unknown,Cork,180000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2013-11-07,unknown,Meath,69000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-12-18,unknown,Meath,320000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2013-12-19,unknown,Westmeath,25000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-04-18,unknown,Louth,270000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2018-07-20,unknown,Limerick,198000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2010-12-07,unknown,Dublin,350000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-01-19,unknown,Galway,565000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2015-05-01,dublin 17,Dublin,150713.0,New Dwelling house /Apartment,38 - 125,May,2
2017-05-26,unknown,Westmeath,150000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2013-09-26,unknown,Donegal,23858.0,New Dwelling house /Apartment,>= 125,September,3
2018-06-26,unknown,Cork,200000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-12-11,unknown,Clare,93000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-08-06,unknown,Cork,155000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2021-11-30,dublin 5,Dublin,310000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-07-14,unknown,Clare,157000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-07-09,unknown,Kilkenny,171000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-09-08,dublin 6w,Dublin,595000.0,New Dwelling house /Apartment,unknown,September,3
2021-11-10,unknown,Leitrim,250000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2021-11-19,dublin 18,Dublin,1255000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-11-14,unknown,Limerick,180000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2012-02-28,unknown,Dublin,159000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-07-16,unknown,Cork,120000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-10-15,dublin 14,Dublin,580000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2012-10-17,unknown,Cork,205000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2020-11-20,unknown,Donegal,165450.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2010-05-10,unknown,Wexford,205000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-01-28,unknown,Dublin,282000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-03-28,unknown,Galway,230000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-12-21,unknown,Cork,260000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-07-23,unknown,Tipperary,145000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-02-25,unknown,Limerick,94000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-04-15,dublin 24,Dublin,140000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-03-07,unknown,Kerry,115000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2018-10-08,unknown,Clare,220000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-06-25,unknown,Kildare,217000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-10-01,unknown,Dublin,675000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-12-04,unknown,Dublin,650000.0,New Dwelling house /Apartment,unknown,December,4
2016-08-19,dublin 6,Dublin,1165000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-03-10,unknown,Wicklow,505000.0,New Dwelling house /Apartment,>= 125,March,1
2020-11-20,unknown,Mayo,150000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-12-12,unknown,Dublin,340000.0,New Dwelling house /Apartment,38 - 125,December,4
2015-02-18,dublin 15,Dublin,336142.0,New Dwelling house /Apartment,38 - 125,February,1
2018-09-03,dublin 5,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2018-12-20,unknown,Tipperary,94000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-07-23,unknown,Offaly,175000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-06-07,unknown,Meath,172500.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-10-11,dublin 16,Dublin,580000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-09-18,dublin 11,Dublin,150000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2017-05-12,dublin 13,Dublin,137500.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2014-10-07,unknown,Limerick,47500.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-08-17,unknown,Carlow,130000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2020-01-14,unknown,Galway,372500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2013-09-19,unknown,Dublin,210000.0,New Dwelling house /Apartment,38 - 125,September,3
2019-09-05,dublin 15,Dublin,265000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-05-20,unknown,Cork,346500.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-06-25,unknown,Dublin,325000.0,New Dwelling house /Apartment,unknown,June,2
2015-10-27,unknown,Roscommon,122000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-05-13,dublin 15,Dublin,760000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2015-06-03,unknown,Galway,56000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-03-18,dublin 6,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2015-09-18,unknown,Cork,325000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-06-14,dublin 24,Dublin,370000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2011-02-03,unknown,Kildare,365470.0,New Dwelling house /Apartment,38 - 125,February,1
2015-04-21,unknown,Laois,122012.0,New Dwelling house /Apartment,38 - 125,April,2
2017-09-21,unknown,Mayo,218000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-09-21,dublin 12,Dublin,572000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-10-30,unknown,Dublin,220000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-02-23,unknown,Clare,430990.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2018-05-29,unknown,Limerick,55000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-18,dublin 5,Dublin,453333.0,New Dwelling house /Apartment,unknown,December,4
2015-09-07,unknown,Galway,393000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-01-07,dublin 15,Dublin,205000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-08-23,unknown,Meath,113000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-09-12,dublin 16,Dublin,440000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-04-02,dublin 2,Dublin,395000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2018-01-31,dublin 14,Dublin,400000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2012-04-27,unknown,Galway,277000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2018-12-12,dublin 3,Dublin,1033500.0,New Dwelling house /Apartment,unknown,December,4
2011-03-15,unknown,Cork,190000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2021-05-21,unknown,Cavan,155000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-07-16,unknown,Louth,273000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-12-11,unknown,Kildare,230000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-06-08,unknown,Kilkenny,240000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-01-13,unknown,Cork,341408.0,New Dwelling house /Apartment,< 38,January,1
2015-05-15,unknown,Dublin,163000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-20,unknown,Kildare,425012.0,New Dwelling house /Apartment,unknown,December,4
2021-02-08,dublin 18,Dublin,900000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2018-09-04,unknown,Cork,555000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2017-08-02,unknown,Cork,140000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2020-01-31,unknown,Dublin,395000.0,New Dwelling house /Apartment,unknown,January,1
2014-12-08,unknown,Kildare,270000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-05-31,unknown,Mayo,210000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-06-17,unknown,Dublin,434870.0,New Dwelling house /Apartment,unknown,June,2
2014-09-29,dublin 8,Dublin,182000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-09-13,dublin 11,Dublin,206000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-10-09,unknown,Dublin,360000.0,New Dwelling house /Apartment,unknown,October,4
2014-07-17,unknown,Westmeath,70000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-03-25,dublin 11,Dublin,114499.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2020-10-28,unknown,Louth,235000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-06-10,dublin 1,Dublin,23858.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2018-06-15,unknown,Louth,620000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-09-01,unknown,Clare,145000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-11-15,dublin 18,Dublin,331000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-07-19,unknown,Louth,180000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-01-28,dublin 18,Dublin,251754.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2012-03-21,unknown,Limerick,185000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2011-09-16,unknown,Wicklow,120000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-02-03,unknown,Donegal,400000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2018-03-20,dublin 15,Dublin,205000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2021-08-11,unknown,Donegal,165500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-05-19,unknown,Dublin,200000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2012-09-11,unknown,Dublin,175000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2010-12-14,unknown,Wexford,160000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-11-20,unknown,Cork,118000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-08-15,dublin 6,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2018-05-09,unknown,Kildare,292000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-07-09,dublin 10,Dublin,280000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-09-17,unknown,Wexford,290000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-03-15,unknown,Donegal,23858.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-09-09,unknown,Louth,98000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-09-09,unknown,Meath,325000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2018-06-26,dublin 8,Dublin,450000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2013-05-22,unknown,Kerry,60000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-06-14,unknown,Kilkenny,220000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-10-26,dublin 8,Dublin,405000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-11-10,unknown,Galway,156750.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-01-22,unknown,Tipperary,80000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2013-05-24,unknown,Kerry,150687.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2015-07-13,unknown,Clare,61000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2020-04-30,unknown,Laois,160000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-06-05,unknown,Laois,30000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-05-25,unknown,Tipperary,85000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-08-15,unknown,Clare,390000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-12-12,unknown,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-07-10,unknown,Kildare,365500.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2010-09-08,unknown,Dublin,567500.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2013-01-31,unknown,Dublin,467500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2013-12-16,unknown,Louth,215650.0,New Dwelling house /Apartment,38 - 125,December,4
2021-03-12,dublin 6,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-10-04,unknown,Sligo,210000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-02-24,unknown,Wexford,160000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2019-08-07,unknown,Clare,454500.0,New Dwelling house /Apartment,unknown,August,3
2018-07-11,unknown,Kildare,355000.0,New Dwelling house /Apartment,38 - 125,July,3
2019-06-12,unknown,Galway,230000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-03-31,unknown,Tipperary,132000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-07-29,dublin 22,Dublin,155000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-08-06,unknown,Dublin,305000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-10-25,dublin 4,Dublin,410000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-02-12,dublin 4,Dublin,620000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2011-07-09,unknown,Cork,236000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2010-07-30,unknown,Dublin,130000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-08-22,unknown,Offaly,97500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2018-12-13,unknown,Tipperary,180000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-03-08,unknown,Louth,225000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2018-06-29,unknown,Meath,370001.0,New Dwelling house /Apartment,>= 125,June,2
2010-05-13,unknown,Dublin,215000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2010-06-11,unknown,Dublin,197500.0,New Dwelling house /Apartment,38 - 125,June,2
2014-08-15,unknown,Dublin,227900.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2013-07-29,unknown,Westmeath,205000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-12-13,unknown,Dublin,350000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2010-06-22,unknown,Cork,282843.0,New Dwelling house /Apartment,38 - 125,June,2
2015-02-04,dublin 15,Dublin,169633.0,New Dwelling house /Apartment,38 - 125,February,1
2019-07-11,dublin 9,Dublin,950000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-10-26,unknown,Kildare,399999.0,New Dwelling house /Apartment,38 - 125,October,4
2019-08-09,dublin 15,Dublin,242000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2020-02-27,unknown,Waterford,222000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2020-06-25,unknown,Cork,465000.0,New Dwelling house /Apartment,unknown,June,2
2010-06-10,dublin 5,Dublin,230000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2015-12-23,unknown,Cork,23858.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2015-10-06,dublin 11,Dublin,130000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-02-03,unknown,Kerry,40000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2019-11-11,unknown,Galway,165000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-12-21,unknown,Cork,191000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2013-02-18,unknown,Dublin,527500.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2020-06-26,unknown,Cork,225000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2015-09-11,unknown,Offaly,77000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-11-08,unknown,Dublin,379409.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-12-07,unknown,Leitrim,45000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-08-16,unknown,Westmeath,59000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2019-03-01,unknown,Limerick,372000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2010-11-22,unknown,Dublin,220000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-02-07,dublin 14,Dublin,775000.0,New Dwelling house /Apartment,>= 125,February,1
2014-02-26,unknown,Cork,335000.0,New Dwelling house /Apartment,>= 125,February,1
2015-06-22,unknown,Wicklow,145000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-09-21,dublin 4,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-11-25,dublin 12,Dublin,317000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-12-20,dublin 22,Dublin,210000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-04-13,dublin 5,Dublin,442000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2020-12-17,dublin 15,Dublin,321000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-10-18,unknown,Limerick,310000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2013-06-14,unknown,Wexford,90000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-11-10,dublin 15,Dublin,730000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-10-24,unknown,Cork,217920.0,New Dwelling house /Apartment,38 - 125,October,4
2017-06-20,unknown,Kerry,52923.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-07-29,unknown,Mayo,69000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-07-17,unknown,Limerick,348000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2017-06-29,unknown,Galway,342000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-06-01,unknown,Laois,325000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-08-09,unknown,Kerry,235000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2010-04-01,unknown,Laois,255375.0,New Dwelling house /Apartment,>= 125,April,2
2016-07-28,unknown,Cork,190000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-02-27,dublin 14,Dublin,212000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-12-21,unknown,Dublin,475000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-03-20,unknown,Offaly,120000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-04-17,unknown,Meath,110000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2021-07-02,unknown,Westmeath,195000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-11-28,unknown,Meath,286000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-05-16,unknown,Louth,102000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-18,dublin 24,Dublin,227500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-11-14,dublin 15,Dublin,299000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-09-28,dublin 2,Dublin,678000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2013-12-19,dublin 9,Dublin,230000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-10-01,unknown,Wicklow,315000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-06-01,unknown,Dublin,695000.0,New Dwelling house /Apartment,38 - 125,June,2
2016-05-19,unknown,Galway,340500.0,New Dwelling house /Apartment,38 - 125,May,2
2021-12-21,unknown,Cork,241000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-10-30,unknown,Carlow,265000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-11-04,dublin 3,Dublin,825000.0,New Dwelling house /Apartment,unknown,November,4
2014-03-31,unknown,Cork,235000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2018-08-14,unknown,Cork,165000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2015-10-22,unknown,Mayo,157000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-01-10,unknown,Monaghan,70945.0,New Dwelling house /Apartment,38 - 125,January,1
2016-05-30,dublin 15,Dublin,232000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2011-01-17,unknown,Sligo,95000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-07-10,unknown,Kerry,50000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-12-14,unknown,Cork,220000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2015-07-10,unknown,Mayo,45000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-01-25,unknown,Cork,374550.0,New Dwelling house /Apartment,38 - 125,January,1
2013-12-23,unknown,Dublin,837004.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-04-29,unknown,Tipperary,270000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2011-03-30,unknown,Cork,213184.0,New Dwelling house /Apartment,38 - 125,March,1
2021-01-11,dublin 12,Dublin,187500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-05-26,unknown,Dublin,585000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2010-04-15,dublin 12,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2017-03-21,unknown,Galway,110000.0,New Dwelling house /Apartment,38 - 125,March,1
2012-08-01,unknown,Wexford,218500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2019-05-30,unknown,Wexford,408600.0,New Dwelling house /Apartment,unknown,May,2
2015-05-08,unknown,Cork,217000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2017-07-10,unknown,Wexford,87000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-09-22,unknown,Galway,129999.0,New Dwelling house /Apartment,38 - 125,September,3
2021-09-30,dublin 15,Dublin,230000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2012-09-03,dublin 12,Dublin,90000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-01-07,unknown,Monaghan,100000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-08-15,unknown,Meath,292500.0,New Dwelling house /Apartment,38 - 125,August,3
2019-07-24,unknown,Kerry,80000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-10-23,unknown,Kildare,339999.0,New Dwelling house /Apartment,38 - 125,October,4
2016-04-20,unknown,Tipperary,168000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-02-27,unknown,Monaghan,125000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-08-16,dublin 18,Dublin,195000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-02-27,dublin 16,Dublin,170000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-01-13,unknown,Cork,100000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-12-11,unknown,Galway,125000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-12-14,unknown,Dublin,350000.0,New Dwelling house /Apartment,unknown,December,4
2020-06-29,unknown,Cork,23858.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-10-26,unknown,Donegal,80000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2010-06-22,unknown,Westmeath,177255.0,New Dwelling house /Apartment,< 38,June,2
2016-10-24,unknown,Wicklow,275000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-04-14,unknown,Meath,298000.0,New Dwelling house /Apartment,unknown,April,2
2014-12-18,unknown,Cork,199000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2010-11-03,unknown,Cavan,147550.0,New Dwelling house /Apartment,>= 125,November,4
2021-12-20,unknown,Kildare,460000.0,New Dwelling house /Apartment,unknown,December,4
2010-06-18,unknown,Waterford,90000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-10-17,unknown,Westmeath,117500.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-12-22,unknown,Longford,82000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-12-22,unknown,Clare,75570.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-02-02,unknown,Wexford,234000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2021-06-02,unknown,Cork,150000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-11-06,dublin 4,Dublin,700000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2012-04-12,unknown,Galway,114000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-06-02,unknown,Mayo,300000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-04-24,unknown,Sligo,70000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2014-03-26,unknown,Longford,96588.0,New Dwelling house /Apartment,>= 125,March,1
2014-11-12,unknown,Roscommon,107825.0,New Dwelling house /Apartment,38 - 125,November,4
2013-10-09,unknown,Westmeath,100000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-08-19,unknown,Tipperary,225000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
