Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2015-12-21,dublin 1,Dublin,165000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-09-07,unknown,Wexford,225000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2020-03-06,unknown,Dublin,460000.0,New Dwelling house /Apartment,unknown,March,1
2014-10-07,unknown,Clare,75000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-02-18,unknown,Meath,365000.0,New Dwelling house /Apartment,unknown,February,1
2013-07-19,unknown,Meath,115000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-10-31,dublin 15,Dublin,500000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-12-03,unknown,Louth,243458.0,New Dwelling house /Apartment,unknown,December,4
2010-03-12,unknown,Dublin,304999.0,New Dwelling house /Apartment,< 38,March,1
2015-11-06,unknown,Leitrim,60000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-04-17,unknown,Dublin,295000.0,New Dwelling house /Apartment,38 - 125,April,2
2011-10-26,unknown,Wexford,55000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2013-12-18,dublin 16,Dublin,287000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2012-12-04,dublin 7,Dublin,90000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-05-08,unknown,Cavan,52000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-01-14,dublin 7,Dublin,320000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2010-02-09,unknown,Cork,290000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-09-30,unknown,Leitrim,130000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-09-10,unknown,Louth,77000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-11-09,dublin 10,Dublin,615000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2020-06-05,unknown,Meath,1390400.0,New Dwelling house /Apartment,unknown,June,2
2020-02-20,unknown,Limerick,95000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2010-06-03,dublin 15,Dublin,395000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-10-08,unknown,Dublin,157000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-07-26,unknown,Cork,106000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2011-10-14,unknown,Cork,160000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-10-10,unknown,Kildare,274000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-01-27,unknown,Kilkenny,185000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2012-11-15,dublin 12,Dublin,196000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-12-14,unknown,Mayo,30000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2015-01-09,dublin 22,Dublin,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-05-30,unknown,Tipperary,60000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-12,dublin 9,Dublin,374550.0,New Dwelling house /Apartment,unknown,December,4
2017-02-22,unknown,Offaly,80000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2018-10-26,unknown,Meath,285000.0,New Dwelling house /Apartment,38 - 125,October,4
2018-07-09,unknown,Dublin,615000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-08-27,dublin 24,Dublin,405000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-12-16,unknown,Waterford,138000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-12-09,unknown,Galway,195000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-11-14,unknown,Laois,49999.0,New Dwelling house /Apartment,38 - 125,November,4
2018-09-04,unknown,Cork,205000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2011-08-05,unknown,Carlow,71000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2020-02-25,dublin 4,Dublin,1280000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2015-07-30,unknown,Limerick,90000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2013-06-21,unknown,Dublin,325000.0,New Dwelling house /Apartment,38 - 125,June,2
2014-09-29,unknown,Clare,160000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-10-30,dublin 24,Dublin,277501.0,New Dwelling house /Apartment,38 - 125,October,4
2011-01-20,unknown,Westmeath,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2014-05-09,unknown,Cork,181000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-12-20,unknown,Kildare,160000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-10-21,unknown,Roscommon,57000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-01-20,dublin 1,Dublin,605000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-07-28,unknown,Wicklow,220000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-11-12,unknown,Kerry,107825.0,New Dwelling house /Apartment,38 - 125,November,4
2021-09-08,unknown,Sligo,66000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2011-11-15,unknown,Donegal,170000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-12-13,unknown,Cork,390000.0,New Dwelling house /Apartment,unknown,December,4
2020-07-16,unknown,Galway,418000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-03-25,unknown,Meath,340000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-03-27,dublin 6,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-08-26,unknown,Galway,285000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-08-04,unknown,Kerry,163000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2021-11-22,dublin 13,Dublin,450000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-10-20,unknown,Cavan,67000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-11-06,dublin 17,Dublin,227500.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-02-11,unknown,Tipperary,330000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-06-16,dublin 3,Dublin,200000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-06-14,dublin 9,Dublin,93568.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-10-26,unknown,Carlow,123000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-08-21,unknown,Louth,280000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2010-08-10,unknown,Cavan,85000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-10-25,unknown,Galway,167000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-12-19,dublin 2,Dublin,285000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-12-19,unknown,Limerick,70000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-12-19,unknown,Cork,120000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2011-09-27,unknown,Meath,170193.0,New Dwelling house /Apartment,>= 125,September,3
2020-02-06,unknown,Limerick,65500.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2020-02-14,unknown,Galway,670000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2021-10-07,unknown,Cavan,115000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-11-15,dublin 1,Dublin,212074.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-10-07,unknown,Leitrim,87000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-08-07,unknown,Cork,231000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-07-20,unknown,Wexford,67873.0,New Dwelling house /Apartment,38 - 125,July,3
2012-12-12,unknown,Kildare,280000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-11-29,unknown,Tipperary,200000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2021-06-05,unknown,Roscommon,35000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2013-05-14,dublin 6,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-07-04,unknown,Carlow,299000.0,New Dwelling house /Apartment,unknown,July,3
2016-01-14,unknown,Tipperary,130000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
