Not_Full_Market_Price,Year_of_Sale,Location,New_Property_VAT_Exclusive,Properties_purchased_each_year,Wealth_in_Ireland,Ireland_Mortgage_Rates,Log_Price
0,2019,Louth,1,1154,215555.0,0.0302,12.27606501735021
0,2010,Dublin,1,413,161348.0,0.0402,12.501432666949755
0,2015,Leitrim,0,998,180068.0,0.0405,11.002099841204238
0,2018,Dublin,1,1122,210015.0,0.0321,12.468097967947912
0,2011,Wexford,0,357,155962.0,0.0442,10.915088464214607
0,2013,Dublin 16,0,547,162434.0,0.0438,12.567237494741757
0,2012,Dublin 7,0,485,152843.0,0.0433,11.407564949312402
0,2020,Cavan,0,917,208098.0,0.0292,10.858998997563564
0,2020,Dublin 7,0,917,208098.0,0.0292,12.676076274775909
0,2010,Cork,0,413,161348.0,0.0402,12.577636201962656
0,2014,Leitrim,0,847,176960.0,0.042,11.77528972943772
0,2014,Louth,0,847,176960.0,0.042,11.251560700835821
0,2021,Dublin 10,0,1060,212773.0,0.028,13.329377546788654
0,2020,Meath,1,917,208098.0,0.0292,15.040580739271446
0,2020,Limerick,0,917,208098.0,0.0292,11.461632170582678
0,2010,Dublin 15,0,413,161348.0,0.0402,12.886641043883259
0,2012,Dublin,0,485,152843.0,0.0433,11.964001084330445
0,2019,Cork,0,1154,215555.0,0.0302,11.571194373094205
0,2011,Cork,0,357,155962.0,0.0442,11.982929094215963
0,2019,Kildare,0,1154,215555.0,0.0302,12.520883385370206
0,2017,Kilkenny,0,1081,199406.0,0.0344,12.128111104060462
0,2012,Dublin 12,0,485,152843.0,0.0433,12.185869938212655
0,2015,Mayo,0,998,180068.0,0.0405,10.308952660644293
0,2015,Dublin 22,0,998,180068.0,0.0405,12.524526376648708
0,2019,Tipperary,0,1154,215555.0,0.0302,11.002099841204238
0,2018,Dublin 9,1,1122,210015.0,0.0321,12.706847933442663
0,2017,Offaly,0,1081,199406.0,0.0344,11.289781913656018
0,2018,Meath,1,1122,210015.0,0.0321,12.433610527614848
0,2018,Dublin,0,1122,210015.0,0.0321,13.329377546788654
0,2018,Dublin 24,0,1122,210015.0,0.0321,12.911642346088676
0,2017,Waterford,0,1081,199406.0,0.0344,11.835008964139341
1,2012,Offaly,0,485,152843.0,0.0433,11.84939770159144
0,2020,Galway,0,917,208098.0,0.0292,12.180754837545884
0,2014,Laois,1,847,176960.0,0.042,10.693126033284834
0,2018,Cork,0,1122,210015.0,0.0321,12.230765258120545
0,2011,Carlow,0,357,155962.0,0.0442,11.170435156023453
0,2020,Dublin 4,0,917,208098.0,0.0292,14.0623706358958
0,2015,Limerick,0,998,180068.0,0.0405,11.407564949312402
0,2013,Dublin,1,547,162434.0,0.0438,12.564949164223746
0,2014,Clare,0,847,176960.0,0.042,11.982929094215963
0,2015,Dublin 24,1,998,180068.0,0.0405,12.40694576141302
0,2011,Westmeath,0,357,155962.0,0.0442,12.524526376648708
0,2014,Cork,0,847,176960.0,0.042,12.106252310247962
0,2019,Kildare,0,1154,215555.0,0.0302,11.982929094215963
0,2021,Roscommon,0,1060,212773.0,0.028,10.950806546816688
0,2021,Dublin 1,0,1060,212773.0,0.028,13.312983737012978
0,2017,Wicklow,0,1081,199406.0,0.0344,12.301382825334498
0,2018,Kerry,1,1122,210015.0,0.0321,11.461632170582678
0,2021,Sligo,0,1060,212773.0,0.028,11.097410021008562
0,2011,Donegal,0,357,155962.0,0.0442,12.043553716032399
0,2019,Cork,1,1154,215555.0,0.0302,12.747269353198105
0,2020,Galway,0,917,208098.0,0.0292,12.943236711506893
0,2019,Meath,0,1154,215555.0,0.0302,12.736700896592344
0,2014,Dublin 6,0,847,176960.0,0.042,12.706847933442663
0,2019,Galway,0,1154,215555.0,0.0302,12.560244459250788
0,2017,Kerry,0,1081,199406.0,0.0344,12.0015054797889
0,2021,Dublin 13,0,1060,212773.0,0.028,13.017002861746503
0,2017,Cavan,0,1081,199406.0,0.0344,11.112447898373103
0,2018,Dublin 9,0,1122,210015.0,0.0321,12.334905517373143
0,2013,Tipperary,0,547,162434.0,0.0438,12.706847933442663
0,2017,Dublin 3,0,1081,199406.0,0.0344,12.206072645530174
0,2017,Dublin 9,0,1081,199406.0,0.0344,11.446447036762402
0,2016,Carlow,0,1006,190618.0,0.0361,11.719939634354555
0,2019,Louth,0,1154,215555.0,0.0302,12.542544882151386
0,2010,Cavan,0,413,161348.0,0.0402,11.350406535472453
0,2016,Galway,0,1006,190618.0,0.0361,12.025749091398891
0,2016,Dublin 2,0,1006,190618.0,0.0361,12.560244459250788
0,2018,Limerick,0,1122,210015.0,0.0321,11.156250521031495
0,2018,Cork,0,1122,210015.0,0.0321,11.695247021764184
0,2011,Meath,1,357,155962.0,0.0442,11.918057184177155
0,2020,Limerick,0,917,208098.0,0.0292,11.089805421623343
0,2020,Galway,0,917,208098.0,0.0292,13.415032991367148
0,2021,Cavan,0,1060,212773.0,0.028,11.652687407345388
1,2015,Dublin,0,998,180068.0,0.0405,12.487485104968359
0,2017,Dublin 1,0,1081,199406.0,0.0344,12.264692907016666
